Logging Data Com 9
2024-05-04_04-35-182024-05-04 04:35:19,Neo6M GPS module test code
2024-05-04 04:35:23,Battery Voltage = 3.29V
2024-05-04 04:35:23,No Connection
2024-05-04 04:35:23,Battery Voltage = 3.27V
2024-05-04 04:35:24,No Connection
2024-05-04 04:35:24,Battery Voltage = 3.27V
2024-05-04 04:35:25,No Connection
2024-05-04 04:35:25,Battery Voltage = 3.28V
2024-05-04 04:35:25,No Connection
2024-05-04 04:35:25,Battery Voltage = 3.28V
2024-05-04 04:35:26,No Connection
2024-05-04 04:35:26,Battery Voltage = 3.27V
2024-05-04 04:35:27,No Connection
2024-05-04 04:35:27,Battery Voltage = 3.27V
2024-05-04 04:35:28,No Connection
2024-05-04 04:35:28,Battery Voltage = 3.27V
2024-05-04 04:35:28,No Connection
2024-05-04 04:35:28,Battery Voltage = 3.27V
2024-05-04 04:35:29,No Connection
2024-05-04 04:35:29,Battery Voltage = 3.27V
2024-05-04 04:35:29,No Connection
2024-05-04 04:35:29,Battery Voltage = 3.27V
2024-05-04 04:35:30,No Connection
2024-05-04 04:35:30,Battery Voltage = 3.25V
2024-05-04 04:35:31,No Connection
2024-05-04 04:35:31,Battery Voltage = 3.29V
2024-05-04 04:35:31,No Connection
2024-05-04 04:35:31,Battery Voltage = 3.27V
2024-05-04 04:35:32,No Connection
2024-05-04 04:35:32,Battery Voltage = 3.27V
2024-05-04 04:35:33,No Connection
2024-05-04 04:35:33,Battery Voltage = 3.27V
2024-05-04 04:35:33,No Connection
2024-05-04 04:35:33,Battery Voltage = 3.27V
2024-05-04 04:35:34,No Connection
2024-05-04 04:35:34,Battery Voltage = 3.27V
2024-05-04 04:35:34,No Connection
2024-05-04 04:35:34,Battery Voltage = 3.27V
2024-05-04 04:35:35,No Connection
2024-05-04 04:35:35,Battery Voltage = 3.30V
2024-05-04 04:35:36,No Connection
2024-05-04 04:35:36,Battery Voltage = 3.27V
2024-05-04 04:35:36,No Connection
2024-05-04 04:35:36,Battery Voltage = 3.27V
2024-05-04 04:35:37,No Connection
2024-05-04 04:35:37,Battery Voltage = 3.28V
2024-05-04 04:35:38,No Connection
2024-05-04 04:35:38,Battery Voltage = 3.27V
2024-05-04 04:35:38,No Connection
2024-05-04 04:35:38,Battery Voltage = 3.29V
2024-05-04 04:35:39,No Connection
2024-05-04 04:35:39,Battery Voltage = 3.28V
2024-05-04 04:35:39,No Connection
2024-05-04 04:35:39,Battery Voltage = 3.30V
2024-05-04 04:35:40,No Connection
2024-05-04 04:35:40,Battery Voltage = 3.29V
2024-05-04 04:35:41,No Connection
2024-05-04 04:35:41,Battery Voltage = 3.32V
2024-05-04 04:35:41,No Connection
2024-05-04 04:35:41,Battery Voltage = 3.28V
2024-05-04 04:35:42,No Connection
2024-05-04 04:35:42,Battery Voltage = 3.26V
2024-05-04 04:35:42,No Connection
2024-05-04 04:35:42,Battery Voltage = 3.29V
2024-05-04 04:35:43,No Connection
2024-05-04 04:35:43,Battery Voltage = 3.30V
2024-05-04 04:35:44,No Connection
2024-05-04 04:35:44,Battery Voltage = 3.29V
2024-05-04 04:35:44,No Connection
2024-05-04 04:35:44,Battery Voltage = 3.28V
2024-05-04 04:35:45,No Connection
2024-05-04 04:35:45,Battery Voltage = 3.27V
2024-05-04 04:35:45,No Connection
2024-05-04 04:35:45,Battery Voltage = 3.28V
2024-05-04 04:35:46,No Connection
2024-05-04 04:35:46,Battery Voltage = 3.27V
2024-05-04 04:35:47,No Connection
2024-05-04 04:35:47,Battery Voltage = 3.27V
2024-05-04 04:35:47,No Connection
2024-05-04 04:35:47,Battery Voltage = 3.29V
2024-05-04 04:35:48,No Connection
2024-05-04 04:35:48,Battery Voltage = 3.24V
2024-05-04 04:35:49,No Connection
2024-05-04 04:35:49,Battery Voltage = 3.28V
